ID,city,NO,VMDPP,VMKMT,VMOTHER,VCDPP,VCKMT,VCOTHER,VP
B319,B,319,464,579,7,304,528,200,1
B320,B,320,457,545,9,285,491,250,1
B321,B,321,535,693,12,330,620,267,1
B322,B,322,440,466,14,233,515,172,1
B323,B,323,369,471,7,196,439,191,1
B324,B,324,400,476,12,242,446,200,1
B325,B,325,421,547,3,260,460,261,1
B326,B,326,327,827,14,166,565,378,1
B327,B,327,443,853,16,236,755,345,1
B328,B,328,387,618,15,232,537,232,1
B329,B,329,338,449,7,195,428,155,1
B330,B,330,347,595,10,163,596,180,1
B331,B,331,321,465,17,174,458,133,1
B332,B,332,423,651,16,258,600,243,1
B333,B,333,368,457,4,228,353,241,1
B334,B,334,468,578,10,225,453,376,1
B335,B,335,348,598,7,203,414,328,1
B336,B,336,571,585,9,353,442,360,1
B337,B,337,400,588,13,226,474,289,1
B338,B,338,412,539,8,196,426,341,1
B339,B,339,497,578,23,268,482,314,1
B340,B,340,537,666,16,340,672,231,1
B341,B,341,429,652,15,225,676,179,1
B342,B,342,503,720,4,259,762,209,1
B343,B,343,435,595,9,246,616,178,1
B344,B,344,346,380,13,182,456,98,1
B345,B,345,434,402,10,249,456,140,1
B346,B,346,509,621,15,282,703,147,1
B347,B,347,309,341,8,163,362,120,1
B348,B,348,398,485,13,205,538,172,1
B349,B,349,504,765,9,275,812,179,1
B350,B,350,388,585,15,226,573,192,1
B351,B,351,347,531,10,190,495,196,1
B352,B,352,483,619,18,249,675,187,1
B353,B,353,541,742,11,285,820,185,1
B354,B,354,480,585,14,267,677,123,1
B355,B,355,343,566,13,191,621,110,1
B356,B,356,219,385,14,132,307,175,0
B357,B,357,204,407,14,53,180,403,1
B358,B,358,185,568,8,81,412,261,1
B359,B,359,320,451,6,101,248,427,1
B360,B,360,349,641,18,131,475,398,1
B361,B,361,310,688,15,113,460,435,1
B362,B,362,281,570,12,101,453,312,1
B363,B,363,328,547,10,135,332,418,1
B364,B,364,434,551,10,142,365,478,1
B365,B,365,332,511,13,112,269,470,1
B366,B,366,287,459,19,95,320,353,1
B367,B,367,275,363,14,82,253,314,0
B368,B,368,309,507,9,98,296,423,1
B369,B,369,268,425,8,95,241,362,1
B370,B,370,246,360,2,62,196,349,1
B371,B,371,389,567,10,119,332,512,1
B372,B,372,433,539,8,136,300,546,1
B373,B,373,217,297,8,59,121,355,1
B374,B,374,386,407,1,107,179,505,1
B375,B,375,507,678,14,166,392,629,1
B376,B,376,576,611,19,219,368,613,1
B377,B,377,434,597,14,129,323,595,1
B378,B,378,346,387,10,123,238,363,1
B379,B,379,279,330,8,95,198,321,1
B380,B,380,381,374,12,114,244,412,1
B381,B,381,404,516,17,120,314,499,1
B382,B,382,323,399,8,133,293,314,1
B383,B,383,288,361,12,123,178,359,1
B384,B,384,488,534,12,123,268,640,1
B385,B,385,263,401,9,85,208,372,1
B386,B,386,374,486,12,84,282,497,1
B387,B,387,471,607,18,183,386,522,1
B388,B,388,422,644,17,157,438,490,1
B389,B,389,310,341,6,91,193,366,1
B390,B,390,324,296,6,95,198,323,1
B391,B,391,339,332,9,131,181,364,1
B392,B,392,288,429,18,127,251,356,1
B393,B,393,445,496,14,309,274,368,1
B394,B,394,305,320,5,250,198,174,1
B395,B,395,329,529,12,263,344,260,1
B396,B,396,350,371,3,287,254,179,1
B397,B,397,348,298,3,329,164,150,1
B398,B,398,289,287,9,260,151,170,1
B399,B,399,276,276,5,229,172,156,1
B400,B,400,498,520,14,469,324,236,1
B401,B,401,408,563,10,387,360,226,1
B402,B,402,551,658,10,503,487,238,1
B403,B,403,361,358,12,279,184,258,1
B404,B,404,409,461,10,340,249,286,1
B405,B,405,413,473,4,352,245,285,1
B406,B,406,442,541,9,368,314,306,1
B407,B,407,516,423,9,467,201,280,1
B408,B,408,466,458,9,476,229,220,1
B409,B,409,396,381,8,330,206,250,1
B410,B,410,571,507,18,519,316,258,1
B411,B,411,615,605,21,560,340,323,1
B412,B,412,558,475,14,454,258,325,1
B413,B,413,576,558,9,505,319,312,1
B414,B,414,586,650,15,524,335,382,1
B415,B,415,517,593,15,433,321,355,1
B416,B,416,482,449,11,407,246,286,1
B417,B,417,433,597,15,355,244,446,1
B418,B,418,575,668,24,533,325,405,1
B419,B,419,300,257,7,258,175,120,1
B420,B,420,255,193,2,223,120,105,1
B421,B,421,511,562,12,423,345,299,1
B422,B,422,577,621,18,507,356,354,1
B423,B,423,549,596,11,452,324,373,1
B424,B,424,419,490,13,365,250,303,1
B425,B,425,285,323,5,257,163,186,1
B426,B,426,356,483,5,347,245,241,1
B427,B,427,373,693,9,313,320,436,1
B428,B,428,498,638,18,367,314,465,1
B429,B,429,581,641,11,442,310,470,1
B430,B,430,553,602,12,469,301,402,1
B431,B,431,530,581,25,418,328,381,1
B432,B,432,718,766,21,562,339,594,1
B433,B,433,467,536,16,350,213,456,1
B434,B,434,489,634,21,374,220,546,1
B435,B,435,477,476,12,381,218,354,1
B436,B,436,483,558,14,414,238,405,1
B437,B,437,482,518,16,436,296,279,1
B438,B,438,370,397,10,381,202,187,1
B439,B,439,555,638,6,535,370,288,1
B440,B,440,581,644,19,535,390,323,1
B441,B,441,660,700,15,561,364,431,1
B442,B,442,597,633,8,531,383,318,1
B443,B,443,657,549,12,548,296,373,1
B444,B,444,634,603,8,552,355,341,1
B445,B,445,543,679,6,530,395,293,1
B446,B,446,698,737,8,635,437,365,1
B447,B,447,456,480,8,480,265,196,1
B448,B,448,441,494,9,431,327,180,1
B449,B,449,530,662,16,552,371,269,1
B450,B,450,380,453,10,334,270,233,1
B451,B,451,448,538,7,427,332,228,1
B452,B,452,533,648,13,507,410,259,1
B453,B,453,535,523,10,517,283,263,0
B454,B,454,501,695,18,577,376,253,1
B455,B,455,612,652,7,559,384,327,1
B456,B,456,554,659,11,542,410,258,0
B457,B,457,338,537,9,401,292,192,1
B458,B,458,530,629,17,507,376,286,0
B459,B,459,490,589,7,497,327,269,1
B460,B,460,407,542,9,415,326,266,1
B461,B,461,380,494,11,345,297,228,1
B462,B,462,459,522,8,415,287,281,1
B463,B,463,504,589,8,457,375,254,1
B464,B,464,478,544,9,446,318,261,1
B465,B,465,509,576,7,455,433,198,1
B466,B,466,592,530,8,597,283,245,1
B467,B,467,649,488,13,542,318,283,1
B468,B,468,473,456,10,426,259,244,1
B469,B,469,529,685,6,482,424,304,1
B470,B,470,530,599,13,456,384,300,1
B471,B,471,518,457,4,430,312,228,1
B472,B,472,614,468,14,485,257,353,1
B473,B,473,584,584,19,471,331,393,1
B474,B,474,617,691,17,508,373,437,1
B475,B,475,502,500,8,441,264,301,1
B476,B,476,409,461,12,340,278,263,1
B477,B,477,339,354,8,226,221,249,1
B478,B,478,425,406,8,260,256,312,1
B479,B,479,405,398,11,335,244,229,1
B480,B,480,365,338,6,349,183,174,1
B481,B,481,400,428,21,348,193,306,1
B482,B,482,552,607,8,353,407,403,1
B483,B,483,456,547,16,341,366,297,1
B484,B,484,343,382,9,220,231,283,1
B485,B,485,356,350,9,201,264,235,1
B486,B,486,471,444,7,349,286,269,1
B487,B,487,418,450,9,304,332,229,1
B488,B,488,450,346,9,308,238,262,1
B489,B,489,395,342,10,311,233,203,1
B490,B,490,426,443,9,260,313,292,1
B491,B,491,233,430,5,180,297,185,1
B492,B,492,349,348,6,191,235,265,1
B493,B,493,298,496,6,166,347,275,1
B494,B,494,483,484,16,253,354,360,1
B495,B,495,522,441,22,307,330,342,1
B496,B,496,381,504,8,233,373,282,1
B497,B,497,407,323,15,289,181,274,1
B498,B,498,419,508,13,247,315,377,1
B499,B,499,509,514,12,343,345,336,1
B500,B,500,484,451,8,353,293,289,1
B501,B,501,496,443,11,375,291,278,1
B502,B,502,406,376,8,261,286,240,1
B503,B,503,480,429,12,318,327,264,1
B504,B,504,464,329,12,365,246,194,1
B505,B,505,517,443,11,346,299,322,1
B506,B,506,420,394,15,316,284,228,1
B507,B,507,433,346,11,348,273,152,1
B508,B,508,485,391,8,385,281,209,1
B509,B,509,475,526,10,361,463,181,1
